"","ID","BP_PA"
"144",144,8.15682008981316e-05
"145",145,0.000160921459459968
"146",146,3.19828540792444e-06
"147",147,0.000176642431221439
"148",148,0.00012965900128933
"149",149,0.000274294284639245
"150",150,3.85199728161114e-05
"151",151,4.63778437790641e-05
"152",152,2.68217244413785e-05
"153",153,0.000126306946491588
"154",154,2.89935394097441e-05
"155",155,0.000111447697826231
"156",156,0.000296145350146971
"157",157,0.000190119450546427
"158",158,0.000116290621686934
"159",159,3.52750981049032e-05
"160",160,8.19060995480192e-05
"161",161,2.38529300459163e-05
"162",162,0.000103326210535215
"163",163,0.000130813422368515
"164",164,0.00161044825405167
"165",165,0.000196637810974428
"166",166,0.000112851702084548
"167",167,3.11239631269796e-05
"168",168,6.16014402162161e-05
"169",169,9.81984930990265e-07
"170",170,0.000308355262964581
"171",171,6.61012987242836e-05
"172",172,0.000231087155907792
"173",173,5.29015955499411e-05
"174",174,5.31366308864266e-05
"175",175,0
"176",176,0.000130468781439268
"177",177,5.63422479736637e-05
"178",178,3.17052428813178e-05
"179",179,8.2818004229605e-05
"180",180,0.000152877957829659
"181",181,2.70335008335382e-05
"182",182,2.37842736204457e-05
"183",183,4.26795853685504e-05
"184",184,1.04386199956204e-05
"185",185,1.74892853458666e-05
"186",186,0.000132393687578154
"187",187,5.88656981261821e-07
"188",188,1.40775417360065e-05
"189",189,3.02516200853651e-05
"190",190,3.17927103002267e-05
"191",191,1.33460772785091e-06
"192",192,0
"193",193,6.21787548647514e-05
"194",194,1.16464542503791e-05
"195",195,0.000120004730753577
"196",196,7.94973732250295e-05
"197",197,0.000107423730431329
"198",198,8.99688109886383e-05
"199",199,5.78327116376209e-05
"200",200,8.66787003637115e-05
"201",201,9.99030078283207e-05
"202",202,6.01911127653541e-05
"203",203,1.49678041686763e-05
"204",204,1.87230944535073e-05
"205",205,1.20145503826409e-05
"206",206,2.71494797186926e-05
"207",207,8.7576147595821e-06
"208",208,1.3312980931805e-05
"209",209,1.39391934879156e-05
"210",210,0
"211",211,1.69384041995382e-05
"212",212,3.43253487395494e-05
"213",213,1.983314539345e-05
"214",214,2.33645189164747e-05
"215",215,2.24171646507229e-05
"216",216,9.14125790200971e-05
"217",217,0.000104128895804008
"218",218,1.54908671014195e-05
"219",219,2.40583784018333e-05
"220",220,3.88032477388831e-06
"221",221,7.54380280911297e-06
"222",222,2.80972806487325e-05
"223",223,1.03898106731856e-05
"224",224,8.82353557294196e-06
"225",225,2.26189429508158e-06
"226",226,5.82596337421528e-06
"227",227,1.21526168868134e-05
"228",228,1.09338813793814e-05
"229",229,2.05726589831406e-05
"230",230,6.87155337494372e-05
"231",231,6.6006909172979e-06
"232",232,8.20211543347974e-05
"233",233,3.53592782138422e-05
"234",234,8.75622807747937e-06
"235",235,0
"236",236,0
"237",237,0
"238",238,0
"239",239,2.15328688138869e-06
"240",240,1.23697679696813e-05
"241",241,3.19361668982411e-08
"242",242,6.00415316870105e-07
"243",243,1.46492974903603e-07
"244",244,2.53139049976601e-09
"245",245,0
"246",246,1.83989868673962e-08
"247",247,3.51443032941017e-07
"248",248,3.88300032409282e-06
"249",249,5.63163257808308e-06
"250",250,1.38118758139536e-05
"251",251,3.12545579194588e-07
"252",252,1.64492238645828e-07
"253",253,3.40397454059206e-06
"254",254,1.78916867144341e-06
"255",255,3.00574899425108e-05
"256",256,2.52539654767056e-05
"257",257,4.50605677062591e-05
"258",258,3.70864062366821e-05
"259",259,4.33618216474289e-05
"260",260,6.42797484110384e-05
"261",261,0.000126989145259013
"262",262,5.46443537260478e-06
"263",263,4.45238288432404e-05
"264",264,0
"265",265,6.70844810619005e-05
"266",266,1.81645817769654e-06
"267",267,3.58909820124464e-05
"268",268,6.7460160718793e-06
"269",269,5.21603531660296e-05
"270",270,2.3719276012863e-05
"271",271,6.68804979267946e-06
"272",272,1.633179427183e-05
"273",273,3.46372922233254e-05
"274",274,7.373904840158e-05
"275",275,0.000163454304495044
"276",276,0
"277",277,1.36371884606057e-08
"278",278,0
"279",279,9.46914338785366e-05
"280",280,4.44041434813065e-05
"281",281,8.63845419957079e-07
"282",282,2.62633621755013e-06
"283",283,9.62143678675849e-06
"284",284,3.29888045405968e-05
"285",285,2.00641727225569e-05
"286",286,3.22849003272938e-06
"287",287,1.1199963423313e-05
"288",288,1.57351061587805e-06
"289",289,9.95474247919375e-07
"290",290,6.81843458160535e-06
"291",291,1.67320938972048e-05
"292",292,6.68686959275177e-06
"293",293,6.23087581140751e-06
"294",294,1.04608388903154e-05
"295",295,1.39015299841006e-05
"296",296,4.63505417250871e-05
"297",297,5.50739008823615e-05
"298",298,6.44761098717948e-05
"299",299,5.84057822317175e-05
"300",300,2.26699744550975e-05
"301",301,2.4817267485884e-05
"302",302,5.0141377041807e-05
"303",303,2.65526545305091e-05
"304",304,6.82877101620915e-05
"305",305,8.59155623779509e-05
"306",306,9.38906913327919e-05
"307",307,6.88384707330699e-05
"308",308,1.2133281788344e-05
"309",309,5.45105778290461e-05
"310",310,2.3601938665794e-06
"311",311,5.73508588609195e-05
"312",312,3.90362424245962e-05
"313",313,2.43034685680339e-05
"314",314,2.95263346344054e-05
"315",315,5.23287339976473e-05
"316",316,4.66698074050724e-06
"317",317,1.35683662005511e-05
"318",318,6.34619979690727e-07
"319",319,3.1688802437713e-06
"320",320,7.84284509284498e-07
"321",321,0
"322",322,1.89006857077211e-05
"323",323,1.81650794519472e-05
"324",324,5.43018710278814e-08
"325",325,1.84690262901886e-06
"326",326,9.3140330723477e-05
"327",327,2.79144675433823e-05
"328",328,3.99426427473429e-05
"329",329,7.42931989572193e-05
"330",330,5.68617738387495e-05
"331",331,8.87834694515028e-05
"332",332,8.89218412213649e-05
"333",333,7.72066129630603e-05
"334",334,4.02503987981141e-05
"335",335,8.20612593342665e-07
"336",336,2.65514949599279e-05
"337",337,0.000116720112842964
"338",338,1.14955097685692e-05
"339",339,4.88834223043035e-05
"340",340,6.06785238648125e-05
"341",341,9.34251450941002e-05
"342",342,8.40294346697466e-06
"343",343,1.55704381260472e-05
"344",344,2.87620813962723e-05
"345",345,1.84824562110833e-05
"346",346,4.60987952145481e-05
"347",347,3.01452232721197e-05
"348",348,7.79287832655386e-06
"349",349,2.69198226850427e-05
"350",350,6.01243623170937e-06
"351",351,3.2700323643213e-05
"352",352,1.41379066929089e-05
"353",353,2.46615268559168e-05
"354",354,0.000101638290299499
"355",355,3.57184050659099e-06
"356",356,9.78508115776959e-06
"357",357,9.7149154348155e-07
"358",358,1.58953062601281e-06
"359",359,8.39298508878248e-06
"360",360,1.08703134987168e-05
"361",361,9.45208826311306e-05
"362",362,9.29244812202388e-05
"363",363,0
"364",364,0
"365",365,0
"366",366,0
"367",367,3.21561508358145e-06
"368",368,0
"369",369,4.91238317552322e-06
"370",370,1.21631276112356e-05
"371",371,0
"372",372,9.98907147971936e-07
"373",373,1.28004194483171e-07
"374",374,2.01525677578113e-06
"375",375,8.11157016566237e-07
"376",376,3.20948818043519e-07
"377",377,0
"378",378,1.9146879629597e-05
"379",379,0
"380",380,9.83531556564955e-06
"381",381,5.28293022303408e-07
"382",382,5.13518716057807e-07
"383",383,1.23551331648233e-05
"384",384,7.96605518381799e-05
"385",385,7.54962873169721e-09
"386",386,2.06779548916924e-05
"387",387,1.16269702356087e-05
"388",388,1.17910738244905e-05
"389",389,8.41713433894706e-07
